,RouteID,FromStop,ToStop,Departure,Arrival,TravelTimeMin
0,CR-Fitchburg,North Station,Waltham,2016-01-15 17:07:50,2016-01-15 17:29:52,22.033333333333335
1,CR-Fitchburg,North Station,Waltham,2016-01-15 17:31:47,2016-01-15 17:52:19,20.533333333333335
2,CR-Fitchburg,North Station,Waltham,2016-01-15 17:52:20,2016-01-15 18:12:52,20.533333333333335
3,CR-Fitchburg,North Station,Waltham,2016-01-15 18:23:18,2016-01-15 18:43:49,20.516666666666666
4,CR-Fitchburg,North Station,Waltham,2016-01-18 17:52:53,2016-01-18 18:11:53,19.0
5,CR-Fitchburg,North Station,Waltham,2016-01-18 19:55:03,2016-01-18 20:13:46,18.716666666666665
6,CR-Fitchburg,North Station,Waltham,2016-01-19 20:47:48,2016-01-19 21:08:22,20.566666666666666
7,CR-Fitchburg,North Station,Waltham,2016-01-20 17:07:14,2016-01-20 17:29:33,22.316666666666666
8,CR-Fitchburg,North Station,Waltham,2016-01-20 20:48:48,2016-01-20 21:07:36,18.8
9,CR-Fitchburg,North Station,Waltham,2016-01-21 17:06:52,2016-01-21 17:29:10,22.3
10,CR-Fitchburg,North Station,Waltham,2016-01-21 17:32:31,2016-01-21 17:52:32,20.016666666666666
11,CR-Fitchburg,North Station,Waltham,2016-01-21 17:52:48,2016-01-21 18:13:20,20.533333333333335
12,CR-Fitchburg,North Station,Waltham,2016-01-21 19:53:18,2016-01-21 20:15:22,22.066666666666666
13,CR-Fitchburg,North Station,Waltham,2016-01-22 17:33:20,2016-01-22 17:52:22,19.033333333333335
14,CR-Fitchburg,North Station,Waltham,2016-01-22 20:49:15,2016-01-22 21:10:17,21.033333333333335
15,CR-Fitchburg,North Station,Waltham,2016-01-25 17:08:34,2016-01-25 17:32:36,24.033333333333335
16,CR-Fitchburg,North Station,Waltham,2016-01-25 18:22:18,2016-01-25 18:44:49,22.516666666666666
17,CR-Fitchburg,North Station,Waltham,2016-01-25 19:51:30,2016-01-25 20:14:01,22.516666666666666
18,CR-Fitchburg,North Station,Waltham,2016-01-26 17:07:38,2016-01-26 17:29:52,22.233333333333334
19,CR-Fitchburg,North Station,Waltham,2016-01-26 17:36:24,2016-01-26 18:02:35,26.183333333333334
20,CR-Fitchburg,North Station,Waltham,2016-01-27 17:35:09,2016-01-27 17:52:10,17.016666666666666
21,CR-Fitchburg,North Station,Waltham,2016-01-28 17:08:13,2016-01-28 17:28:47,20.566666666666666
22,CR-Fitchburg,North Station,Waltham,2016-01-28 17:32:24,2016-01-28 17:52:56,20.533333333333335
23,CR-Fitchburg,North Station,Waltham,2016-01-28 18:22:07,2016-01-28 18:44:29,22.366666666666667
24,CR-Fitchburg,North Station,Waltham,2016-01-28 19:53:14,2016-01-28 20:15:15,22.016666666666666
25,CR-Fitchburg,North Station,Waltham,2016-01-29 17:06:47,2016-01-29 17:29:18,22.516666666666666
26,CR-Fitchburg,North Station,Waltham,2016-01-29 17:32:54,2016-01-29 17:53:26,20.533333333333335
27,CR-Fitchburg,North Station,Waltham,2016-01-29 17:51:45,2016-01-29 18:14:02,22.283333333333335
28,CR-Fitchburg,North Station,Waltham,2016-02-01 17:32:38,2016-02-01 17:52:10,19.533333333333335
29,CR-Fitchburg,North Station,Waltham,2016-02-01 17:52:23,2016-02-01 18:11:55,19.533333333333335
30,CR-Fitchburg,North Station,Waltham,2016-02-01 18:33:42,2016-02-01 18:55:44,22.033333333333335
31,CR-Fitchburg,North Station,Waltham,2016-02-01 19:52:33,2016-02-01 20:12:34,20.016666666666666
32,CR-Fitchburg,North Station,Waltham,2016-02-02 17:32:39,2016-02-02 17:51:41,19.033333333333335
33,CR-Fitchburg,North Station,Waltham,2016-02-02 17:51:51,2016-02-02 18:15:24,23.55
34,CR-Fitchburg,North Station,Waltham,2016-02-02 18:28:04,2016-02-02 18:50:11,22.116666666666667
35,CR-Fitchburg,North Station,Waltham,2016-02-02 20:47:42,2016-02-02 21:05:44,18.033333333333335
36,CR-Fitchburg,North Station,Waltham,2016-02-03 17:35:19,2016-02-03 17:53:51,18.533333333333335
37,CR-Fitchburg,North Station,Waltham,2016-02-03 19:53:06,2016-02-03 20:15:07,22.016666666666666
38,CR-Fitchburg,North Station,Waltham,2016-02-03 20:47:48,2016-02-03 21:09:07,21.316666666666666
39,CR-Fitchburg,North Station,Waltham,2016-02-05 17:34:15,2016-02-05 17:53:16,19.016666666666666
40,CR-Fitchburg,North Station,Waltham,2016-02-05 17:50:30,2016-02-05 18:15:26,24.933333333333334
41,CR-Fitchburg,North Station,Waltham,2016-02-06 20:02:29,2016-02-06 20:22:59,20.5
42,CR-Fitchburg,North Station,Waltham,2016-02-07 18:03:23,2016-02-07 18:22:24,19.016666666666666
43,CR-Fitchburg,North Station,Waltham,2016-02-07 20:01:57,2016-02-07 20:20:58,19.016666666666666
44,CR-Fitchburg,North Station,Waltham,2016-02-09 17:32:17,2016-02-09 17:52:50,20.55
45,CR-Fitchburg,North Station,Waltham,2016-02-10 17:53:18,2016-02-10 18:14:18,21.0
46,CR-Fitchburg,North Station,Waltham,2016-02-11 17:36:45,2016-02-11 17:53:45,17.0
47,CR-Fitchburg,North Station,Waltham,2016-02-11 17:52:01,2016-02-11 18:14:32,22.516666666666666
48,CR-Fitchburg,North Station,Waltham,2016-02-12 18:25:08,2016-02-12 18:45:40,20.533333333333335
49,CR-Fitchburg,North Station,Waltham,2016-02-13 20:04:49,2016-02-13 20:22:19,17.5
50,CR-Fitchburg,North Station,Waltham,2016-02-14 18:02:06,2016-02-14 18:22:40,20.566666666666666
51,CR-Fitchburg,North Station,Waltham,2016-02-16 17:52:15,2016-02-16 18:14:16,22.016666666666666
52,CR-Fitchburg,North Station,Waltham,2016-02-16 19:50:43,2016-02-16 20:12:48,22.083333333333332
53,CR-Fitchburg,North Station,Waltham,2016-02-17 17:31:52,2016-02-17 17:52:24,20.533333333333335
